reviewer_alias,review_id,slot_id,task_id,base_family,axis,split,profile,category,label,source_lines,event_indices,request_ids
Reviewer1,R-011C709E7D75F0,P-PX03_C3_EXCHANGE-ATTRIBUTE_COMBINATION-SEEN-glm5,PX03_C3_EXCHANGE-ATTRIBUTE_COMBINATION-SEEN,C3_EXCHANGE,ATTRIBUTE_COMBINATION,SEEN,glm5,F,NA,[1],[],[]
Reviewer1,R-047457C8A64D75,P-PX07_C7_ATTR_FLAT-ATTRIBUTE_COMBINATION-HELDOUT-glm47,PX07_C7_ATTR_FLAT-ATTRIBUTE_COMBINATION-HELDOUT,C7_ATTR_FLAT,ATTRIBUTE_COMBINATION,HELDOUT,glm47,F,V,"[147, 148]",[61],[]
Reviewer1,R-09AF1B12F301F8,P-PX10_D2_EVENT-CONTROL_FLOW-HELDOUT-glm5,PX10_D2_EVENT-CONTROL_FLOW-HELDOUT,D2_EVENT,CONTROL_FLOW,HELDOUT,glm5,F,U,[34],[36],[]
Reviewer1,R-0D302E94032548,P-PX01_C1_BUFFER-CONTROL_FLOW-SEEN-glm5,PX01_C1_BUFFER-CONTROL_FLOW-SEEN,C1_BUFFER,CONTROL_FLOW,SEEN,glm5,F,NA,[5],[],[]
Reviewer1,R-10B290A19DB057,P-PX13_D5_FRESHNESS-CONTROL_FLOW-HELDOUT-glm47,PX13_D5_FRESHNESS-CONTROL_FLOW-HELDOUT,D5_FRESHNESS,CONTROL_FLOW,HELDOUT,glm47,F,U,"[38, 40, 67]",[5],[]
Reviewer1,R-12380C0A2969E6,P-PX09_D1_OBSERVATION-CONTROL_FLOW-SEEN-glm5,PX09_D1_OBSERVATION-CONTROL_FLOW-SEEN,D1_OBSERVATION,CONTROL_FLOW,SEEN,glm5,F,V,"[35, 59, 70, 86]","[21, 28, 29]",[15]
Reviewer1,R-1361187D0C07C0,P-PX16_D8_ALLOCATION-CONTROL_FLOW-SEEN-glm5,PX16_D8_ALLOCATION-CONTROL_FLOW-SEEN,D8_ALLOCATION,CONTROL_FLOW,SEEN,glm5,F,V,[7],"[4, 6]",[]
Reviewer1,R-153553AE7703E8,P-PX16_D8_ALLOCATION-CONTROL_FLOW-HELDOUT-glm5,PX16_D8_ALLOCATION-CONTROL_FLOW-HELDOUT,D8_ALLOCATION,CONTROL_FLOW,HELDOUT,glm5,F,U,"[6, 14, 22, 34]","[1, 3, 9]",[]
Reviewer1,R-1776D1F34FF524,P-PX14_D6_RESOURCE_SPAN-CONTROL_FLOW-HELDOUT-glm47,PX14_D6_RESOURCE_SPAN-CONTROL_FLOW-HELDOUT,D6_RESOURCE_SPAN,CONTROL_FLOW,HELDOUT,glm47,F,C,"[48, 50, 65]","[11, 28]",[]
Reviewer1,R-1879E6DAA8A763,P-PX14_D6_RESOURCE_SPAN-ATTRIBUTE_COMBINATION-HELDOUT-glm47,PX14_D6_RESOURCE_SPAN-ATTRIBUTE_COMBINATION-HELDOUT,D6_RESOURCE_SPAN,ATTRIBUTE_COMBINATION,HELDOUT,glm47,F,NA,[4],[],[]
Reviewer1,R-19CB6163752DA5,P-PX04_C4_ALLOCATION-CONTROL_FLOW-SEEN-glm5,PX04_C4_ALLOCATION-CONTROL_FLOW-SEEN,C4_ALLOCATION,CONTROL_FLOW,SEEN,glm5,F,V,"[40, 41]",[],[]
